Recenum,G
10110084,-0.007398944
10110085,-0.009134903
10110086,-0.012141645
10110087,-0.009616334
10110088,-0.009997171
10110089,-0.009647973
10110090,-0.006861768
10110091,-0.008537604
10110092,-0.006873397
10110093,-0.004026592
10110094,-0.0068017
10110095,-0.004011038
10110096,-0.003793493
10110097,-0.006970801
10110098,-0.005715506
10110099,-0.007520995
10110100,-0.005451384
10120001,-0.005451405
10120002,-0.002935462
10120003,-0.001536667
10120004,-0.0012743
10120005,-0.001794818
10120006,-0.004809421
10120007,-0.002747834
10120008,-0.004730254
10120009,-0.008576016
10120010,-0.008777694
10120011,-0.007787583
10120012,-0.011341268
10120013,-0.012458174
10120014,-0.008069982
10120015,-0.012344282
10120016,-0.011383662
10120017,-0.008527721
10120018,-0.005692858
10120019,0.000587137
10120020,0.006439815
10120021,0.021230589
10120022,0.030777439
10120023,0.043152089
10120024,0.05717239
10120025,0.070207487
10120026,0.070627168
10120027,0.062957655
10120028,0.043196153
10120029,-0.011722435
10120030,-0.096881146
10120031,-0.22318204
10120032,-0.406621255
10120033,-0.651558869
10120034,-0.951772248
10120035,-1.305886967
10120036,-1.699243732
10120037,-2.0829383
10120038,-2.412991515
10120039,-2.608994142
10120040,-2.562373773
10120041,-2.170214975
10120042,-1.331612993
10120043,-0.010884036
10120044,1.4195886
10120045,2.464549225
10120046,3.092302876
10120047,3.379413799
10120048,3.42179055
10120049,3.28983647
10120050,3.027583909
10120051,2.680688075
10120052,2.428501328
10120053,2.282478571
10120054,2.156848359
10120055,1.953177989
10120056,1.557979404
10120057,0.874937217
10120058,-0.108511269
10120059,-1.133547216
10120060,-1.84359193
10120061,-2.193523826
10120062,-2.25777137
10120063,-2.117182363
10120064,-1.847113714
10120065,-1.52281325
10120066,-1.191540152
10120067,-0.876961072
10120068,-0.61038739
10120069,-0.396391649
10120070,-0.22972721
10120071,-0.108766172
10120072,-0.032170345
10120073,0.01850314
10120074,0.04819378
10120075,0.053513753
10120076,0.053615239
10120077,0.049387556
10120078,0.036786503
10120079,0.024246116
10120080,0.016191132
10120081,0.009892499
10120082,-0.000396466
10120083,-0.005990638
10120084,-0.008964959
10120085,-0.008059395
10120086,-0.01196804
10120087,-0.010663758
10120088,-0.008029043
10120089,-0.011199878
10120090,-0.009922182
10120091,-0.007195099
10120092,-0.007950103
10120093,-0.00774815
10120094,-0.004112769
10120095,-0.001206561
10120096,-0.003211601
10120097,-0.002364787
10120098,0.001053545
10120099,-0.001959852
10120100,-0.005451407
10130001,-0.005451405
10130002,-0.010125138
10130003,-0.008602913
10130004,-0.006104726
10130005,-0.002103408
10130006,-0.004073324
10130007,-0.004190829
10130008,-0.003330633
10130009,-0.004389
10130010,-0.008286935
10130011,-0.010618016
10130012,-0.007600699
10130013,-0.010722033
10130014,-0.012080433
10130015,-0.009693343
10130016,-0.008818479
10130017,-0.009304471
10130018,-0.002272768
10130019,0.002531256
10130020,0.00532645
10130021,0.015549947
10130022,0.022447384
10130023,0.028941764
10130024,0.03617402
10130025,0.035376423
10130026,0.027761125
10130027,0.009165915
10130028,-0.031863812
10130029,-0.099812786
10130030,-0.194274907
10130031,-0.333641499
10130032,-0.517664752
10130033,-0.746038699
10130034,-1.024953597
10130035,-1.33692974
10130036,-1.660569772
10130037,-1.967777139
10130038,-2.206106526
10130039,-2.299385506
10130040,-2.178084642
10130041,-1.767888921
10130042,-1.000270749
10130043,0.101115802
10130044,1.279341873
10130045,2.21445482
10130046,2.842702916
10130047,3.185611171
10130048,3.29900677
10130049,3.235104586
10130050,3.010848468
10130051,2.668412588
10130052,2.387443952
10130053,2.18141355
10130054,1.977326111
10130055,1.713705484
10130056,1.301094634
10130057,0.693478935
10130058,-0.070776792
10130059,-0.843159815
10130060,-1.444397355
10130061,-1.801115964
10130062,-1.927557411
10130063,-1.878882457
10130064,-1.711265983
10130065,-1.469337099
10130066,-1.202118027
10130067,-0.943387187
10130068,-0.705091841
10130069,-0.500641644
10130070,-0.340516782
10130071,-0.212674767
10130072,-0.118979995
10130073,-0.059090785
10130074,-0.015830513
10130075,0.009249804
10130076,0.019274946
10130077,0.022369435
10130078,0.021527518
10130079,0.015263534
10130080,0.011650237
10130081,0.006407662
10130082,-0.001678675
10130083,-0.002665219
10130084,-0.004685668
10130085,-0.010576797
10130086,-0.009838513
10130087,-0.009910067
10130088,-0.011493208
10130089,-0.011216836
10130090,-0.006961149
10130091,-0.009863347
10130092,-0.007018962
10130093,-0.003475285
10130094,-0.002258086
10130095,-0.002414719
10130096,-0.00036083
10130097,0.002115875
10130098,0.000497057
10130099,-0.001810019
10130100,-0.005451418
10140001,-0.005451456
10140002,0.003842721
10140003,0.009218809
10140004,0.005641044
10140005,0.002722037
10140006,0.002587076
10140007,-8.16E-05
10140008,-0.006032935
10140009,-0.004075636
10140010,-0.007018682
